P.s,Item,Condition,Probmanip,Speaker,statement,response,final,Meaning,Imposition
1,1,1,1708,302,1399,1867,1206,Indirect,High
1,2,2,1466,296,1377,1674,828,Indirect,Low
1,3,3,1393,,1494,1950,1812,Direct,High
1,4,4,2463,530,1691,1866,965,Direct,Low
1,5,1,1552,267,1332,1477,1345,Indirect,High
1,6,2,1445,444,1004,1067,797,Indirect,Low
1,7,3,2159,501,739,1231,2240,Direct,High
1,8,4,1459,,1086,946,978,Direct,Low
1,9,1,3302,,1503,900,1736,Indirect,High
1,10,2,2699,501,807,747,1789,Indirect,Low
1,11,3,1152,829,982,1225,1338,Direct,High
1,12,4,2806,264,1946,1165,867,Direct,Low
1,13,1,1543,133,974,920,2766,Indirect,High
1,14,2,1814,197,1498,1584,1661,Indirect,Low
1,15,3,2209,,1562,2155,1060,Direct,High
1,16,4,2627,,1138,1412,1384,Direct,Low
1,17,1,1763,371,720,1726,895,Indirect,High
1,18,2,1103,326,1800,1722,1238,Indirect,Low
1,19,3,2087,267,1734,1212,711,Direct,High
1,20,4,1573,,2446,1741,1254,Direct,Low
1,21,1,1801,461,1246,1976,826,Indirect,High
1,22,2,1838,341,1402,1179,2039,Indirect,Low
1,23,3,2542,144,1918,1476,2504,Direct,High
1,24,4,1209,,1626,1641,1042,Direct,Low
1,25,1,1552,288,1739,1436,1478,Indirect,High
1,26,2,1722,425,1702,8722,2887,Indirect,Low
1,27,3,2289,435,1185,1664,1293,Direct,High
1,28,4,2174,503,927,1471,2670,Direct,Low
2,1,4,3020,563,1826,1628,2839,Direct,Low
2,2,1,308,1875,2992,2040,1730,Indirect,High
2,3,2,3100,435,1130,2449,1381,Indirect,Low
2,4,3,2939,339,1706,1795,2404,Direct,High
2,5,4,2218,384,1906,884,1850,Direct,Low
2,6,1,1949,333,2320,1281,1111,Indirect,High
2,7,2,2142,,1332,1517,3047,Indirect,Low
2,8,3,1428,575,533,1322,1409,Direct,High
2,9,4,2850,,1506,1531,2319,Direct,Low
2,10,1,1981,359,994,650,1193,Indirect,High
2,11,2,,2919,2415,1380,1785,Indirect,Low
2,12,3,2294,,1387,1480,2447,Direct,High
2,13,4,1863,429,2015,1626,3134,Direct,Low
2,14,1,6080,,1797,10163,947,Indirect,High
2,15,2,3087,328,1706,2338,1193,Indirect,Low
2,16,3,2724,,1406,1829,2463,Direct,High
2,17,4,2385,457,1218,1318,1122,Direct,Low
2,18,1,2856,,1772,1177,1278,Indirect,High
2,19,2,3667,,2938,1031,1215,Indirect,Low
2,20,3,321,338,3965,1460,2973,Direct,High
2,21,4,1885,489,833,1372,1048,Direct,Low
2,22,1,1618,,1711,355,3824,Indirect,High
2,23,2,3340,,1357,2022,1225,Indirect,Low
2,24,3,1017,,1721,1590,1042,Direct,High
2,25,4,1626,,1216,1336,2531,Direct,Low
2,26,1,2019,373,1443,1797,1680,Indirect,High
2,27,2,2051,,1581,1097,1241,Indirect,Low
2,28,3,2534,369,922,2529,2469,Direct,High
3,1,3,1269,258,724,978,496,Direct,High
3,2,4,2700,482,710,598,978,Direct,Low
3,3,1,1086,310,1629,848,1250,Indirect,High
3,4,2,1514,,1120,1760,712,Indirect,Low
3,5,3,1096,610,1677,798,965,Direct,High
3,6,4,1132,,1119,796,368,Direct,Low
3,7,1,1260,,374,915,1462,Indirect,High
3,8,2,,,,,,Indirect,Low
3,9,3,2166,631,846,825,1355,Direct,High
3,10,4,1405,516,3543,704,1203,Direct,Low
3,11,1,949,507,778,854,857,Indirect,High
3,12,2,2438,,1344,862,1031,Indirect,Low
3,13,3,1371,191,915,2193,630,Direct,High
3,14,4,1577,243,3570,1325,4383,Direct,Low
3,15,1,1762,226,967,999,895,Indirect,High
3,16,2,1382,2266,583,2122,3663,Indirect,Low
3,17,3,961,,1066,958,402,Direct,High
3,18,4,884,273,953,1131,589,Direct,Low
3,19,1,1241,,1280,730,731,Indirect,High
3,20,2,1610,,830,1312,622,Indirect,Low
3,21,3,1240,,881,988,458,Direct,High
3,22,4,782,330,659,1308,592,Direct,Low
3,23,1,2195,316,790,891,578,Indirect,High
3,24,2,993,487,839,939,3017,Indirect,Low
3,25,3,873,220,1228,716,1103,Direct,High
3,26,4,810,,714,3243,1763,Direct,Low
3,27,1,1884,484,973,1438,1001,Indirect,High
3,28,2,1028,421,773,1137,1587,Indirect,Low
4,1,2,2657,356,1516,1975,673,Indirect,Low
4,2,3,3768,361,3019,1566,12100,Direct,High
4,3,4,2199,673,2482,3404,8693,Direct,Low
4,4,1,2491,345,1138,2314,1723,Indirect,High
4,5,2,2080,396,2289,2185,7103,Indirect,Low
4,6,3,2474,391,1844,1198,7686,Direct,High
4,7,4,2141,,1549,1892,1913,Direct,Low
4,8,1,1224,,1534,,1589,Indirect,High
4,9,2,4672,387,1229,1750,1353,Indirect,Low
4,10,3,2892,1459,1530,1137,699,Direct,High
4,11,4,2421,1432,1611,1511,1672,Direct,Low
4,12,1,1958,336,2255,1369,300,Indirect,High
4,13,2,3128,749,1767,1944,1138,Indirect,Low
4,14,3,2762,,1998,3012,1074,Direct,High
4,15,4,5164,,,5284,13810,Direct,Low
4,16,1,2066,,,2991,1401,Indirect,High
4,17,2,4080,340,953,1716,1042,Indirect,Low
4,18,3,2346,,1546,1346,1005,Direct,High
4,19,4,3956,,2460,986,857,Direct,Low
4,20,1,3363,,1442,2164,1340,Indirect,High
4,21,2,3240,,4015,2228,11200,Indirect,Low
4,22,3,1603,328,897,1026,1070,Direct,High
4,23,4,3824,,2126,1871,366,Direct,Low
4,24,1,1208,,1599,1560,1579,Indirect,High
4,25,2,2764,385,2558,2630,11082,Indirect,Low
4,26,3,2367,494,2595,2714,881,Direct,High
4,27,4,2220,275,717,1947,3015,Direct,Low
4,28,1,,148,3965,4508,4404,Indirect,High
5,1,1,1131,348,904,1807,1515,Indirect,High
5,2,2,3317,753,1795,985,2555,Indirect,Low
5,3,3,1790,331,843,1456,1503,Direct,High
5,4,4,2284,416,1613,1182,1281,Direct,Low
5,5,1,1160,347,1394,1003,1025,Indirect,High
5,6,2,1647,423,1371,1230,908,Indirect,Low
5,7,3,1512,228,913,1290,1990,Direct,High
